name,price,available,store
Milk 2L,13.86,1,FreshCo
Eggs Dozen,22.1,1,FreshCo
Butter 454g,10.92,1,FreshCo
Cheddar Cheese 400g,13.47,1,FreshCo
Greek Yogurt 1kg,9.18,1,FreshCo
Whole Wheat Bread,17.6,1,FreshCo
White Bread,1.86,1,FreshCo
Bagels 6-pack,11.03,1,FreshCo
Peanut Butter 1kg,12.45,1,FreshCo
Strawberry Jam 500ml,13.4,1,FreshCo
Frozen Pizza,6.1,1,FreshCo
Chicken Breast 1kg,18.19,1,FreshCo
Ground Beef 1kg,21.75,1,FreshCo
Bacon 500g,1.95,1,FreshCo
Sausages 900g,9.44,1,FreshCo
Salmon Fillet 1lb,22.72,1,FreshCo
Tilapia 1lb,11.78,1,FreshCo
Shrimp 400g,12.39,1,FreshCo
Apples 3lb Bag,18.78,1,FreshCo
Bananas 1kg,12.98,1,FreshCo
Oranges 3lb,3.44,1,FreshCo
Broccoli,14.46,1,FreshCo
Cauliflower,9.51,1,FreshCo
Spinach 300g,20.97,1,FreshCo
Carrots 2lb,5.18,1,FreshCo
Potatoes 5lb,7.63,0,FreshCo
Onions 3lb,5.51,1,FreshCo
Tomatoes 1lb,12.92,1,FreshCo
Cucumbers,2.47,1,FreshCo
Lettuce,15.58,1,FreshCo
Blueberries 170g,2.85,1,FreshCo
Strawberries 1lb,13.18,1,FreshCo
Grapes 1kg,3.76,1,FreshCo
Pasta 900g,1.59,0,FreshCo
Rice 5kg,18.22,1,FreshCo
Sugar 2kg,16.99,1,FreshCo
Flour 2kg,13.61,1,FreshCo
Olive Oil 1L,21.39,1,FreshCo
Vegetable Oil 3L,13.52,1,FreshCo
Ketchup 1L,14.63,1,FreshCo
Mayonnaise 750ml,9.04,1,FreshCo
Mustard 300ml,17.03,1,FreshCo
Salt 1kg,13.88,1,FreshCo
Black Pepper 100g,19.74,1,FreshCo
Garlic Powder 150g,21.74,1,FreshCo
Tea Bags 100,14.63,1,FreshCo
Coffee 1kg,14.4,1,FreshCo
Instant Coffee 200g,7.6,1,FreshCo
Cereal 400g,21.29,1,FreshCo
Oats 1kg,2.82,1,FreshCo
Frozen Vegetables 1kg,6.81,1,FreshCo
Frozen Fries 1kg,9.68,1,FreshCo
Ice Cream 1.5L,22.26,0,FreshCo
Orange Juice 1L,3.08,1,FreshCo
Apple Juice 1L,20.54,1,FreshCo
Soft Drink 2L,4.4,1,FreshCo
Bottled Water 24-pack,2.52,1,FreshCo
Chips 200g,10.3,1,FreshCo
Chocolate Bar,4.71,1,FreshCo
Cookies 300g,20.97,1,FreshCo
Crackers 200g,5.65,1,FreshCo
Pancake Mix 900g,6.18,1,FreshCo
Maple Syrup 500ml,5.48,0,FreshCo
Honey 500g,22.48,1,FreshCo
Chicken Nuggets 1kg,7.0,1,FreshCo
Fish Sticks 600g,5.03,1,FreshCo
Butter Chicken Sauce 400ml,8.66,0,FreshCo
Tomato Sauce 680ml,20.01,1,FreshCo
BBQ Sauce 500ml,14.63,1,FreshCo
Soy Sauce 500ml,17.95,1,FreshCo
Vinegar 1L,12.84,1,FreshCo
Laundry Detergent 2L,15.59,1,FreshCo
Dish Soap 900ml,11.29,1,FreshCo
Toilet Paper 12-roll,10.77,1,FreshCo
Paper Towels 6-pack,22.14,1,FreshCo
Garbage Bags 30-pack,9.95,1,FreshCo
Shampoo 355ml,10.39,1,FreshCo
Conditioner 355ml,22.25,1,FreshCo
Body Wash 700ml,10.04,1,FreshCo
Hand Soap 250ml,8.04,1,FreshCo
Toothpaste 120ml,17.64,1,FreshCo
Toothbrush 2-pack,17.53,1,FreshCo
Razor 4-pack,15.0,1,FreshCo
Shaving Cream 300g,17.36,1,FreshCo
Deodorant,17.52,1,FreshCo
Aluminum Foil 50ft,11.7,1,FreshCo
Plastic Wrap 100ft,18.66,1,FreshCo
Ziploc Bags 50-pack,5.94,1,FreshCo
Baking Soda 500g,22.29,1,FreshCo
Bleach 1L,2.85,1,FreshCo
All-Purpose Cleaner 1L,18.98,1,FreshCo
Granola Bars 6-pack,4.75,1,FreshCo
Popcorn 200g,9.53,1,FreshCo
Tortillas 10-pack,5.32,0,FreshCo
Salsa 500ml,21.94,1,FreshCo
Nacho Chips 400g,23.35,1,FreshCo
Bagged Salad,21.83,1,FreshCo
Yogurt Cups 8-pack,2.65,1,FreshCo
Cheese Slices 24-pack,3.77,1,FreshCo
Ham Sliced 400g,19.96,1,FreshCo
