name,price,available,store
Milk 2L,11.41,1,NoFrills
Eggs Dozen,1.91,1,NoFrills
Butter 454g,22.06,1,NoFrills
Cheddar Cheese 400g,16.09,1,NoFrills
Greek Yogurt 1kg,9.37,1,NoFrills
Whole Wheat Bread,18.18,1,NoFrills
White Bread,16.64,1,NoFrills
Bagels 6-pack,19.66,1,NoFrills
Peanut Butter 1kg,17.25,1,NoFrills
Strawberry Jam 500ml,13.92,1,NoFrills
Frozen Pizza,16.57,1,NoFrills
Chicken Breast 1kg,10.87,1,NoFrills
Ground Beef 1kg,4.24,1,NoFrills
Bacon 500g,20.58,1,NoFrills
Sausages 900g,13.73,1,NoFrills
Salmon Fillet 1lb,17.31,1,NoFrills
Tilapia 1lb,13.01,1,NoFrills
Shrimp 400g,3.15,1,NoFrills
Apples 3lb Bag,20.09,0,NoFrills
Bananas 1kg,7.3,1,NoFrills
Oranges 3lb,13.22,1,NoFrills
Broccoli,5.8,1,NoFrills
Cauliflower,10.29,1,NoFrills
Spinach 300g,19.89,1,NoFrills
Carrots 2lb,7.66,1,NoFrills
Potatoes 5lb,8.0,1,NoFrills
Onions 3lb,3.26,1,NoFrills
Tomatoes 1lb,7.14,0,NoFrills
Cucumbers,4.22,1,NoFrills
Lettuce,16.19,1,NoFrills
Blueberries 170g,4.42,1,NoFrills
Strawberries 1lb,16.87,1,NoFrills
Grapes 1kg,3.13,1,NoFrills
Pasta 900g,22.13,1,NoFrills
Rice 5kg,7.89,1,NoFrills
Sugar 2kg,8.19,1,NoFrills
Flour 2kg,4.34,1,NoFrills
Olive Oil 1L,15.01,1,NoFrills
Vegetable Oil 3L,10.09,1,NoFrills
Ketchup 1L,18.57,1,NoFrills
Mayonnaise 750ml,17.21,1,NoFrills
Mustard 300ml,11.03,1,NoFrills
Salt 1kg,15.02,1,NoFrills
Black Pepper 100g,19.38,1,NoFrills
Garlic Powder 150g,20.38,1,NoFrills
Tea Bags 100,5.03,1,NoFrills
Coffee 1kg,7.5,0,NoFrills
Instant Coffee 200g,2.47,1,NoFrills
Cereal 400g,13.26,1,NoFrills
Oats 1kg,19.98,1,NoFrills
Frozen Vegetables 1kg,1.81,0,NoFrills
Frozen Fries 1kg,8.73,1,NoFrills
Ice Cream 1.5L,3.51,1,NoFrills
Orange Juice 1L,19.7,1,NoFrills
Apple Juice 1L,6.63,1,NoFrills
Soft Drink 2L,3.72,1,NoFrills
Bottled Water 24-pack,15.39,1,NoFrills
Chips 200g,14.53,1,NoFrills
Chocolate Bar,2.51,1,NoFrills
Cookies 300g,21.64,1,NoFrills
Crackers 200g,18.86,1,NoFrills
Pancake Mix 900g,15.26,1,NoFrills
Maple Syrup 500ml,5.82,1,NoFrills
Honey 500g,21.75,1,NoFrills
Chicken Nuggets 1kg,8.82,1,NoFrills
Fish Sticks 600g,9.62,1,NoFrills
Butter Chicken Sauce 400ml,22.16,1,NoFrills
Tomato Sauce 680ml,20.48,1,NoFrills
BBQ Sauce 500ml,21.72,0,NoFrills
Soy Sauce 500ml,4.59,1,NoFrills
Vinegar 1L,16.52,1,NoFrills
Laundry Detergent 2L,16.39,1,NoFrills
Dish Soap 900ml,9.23,1,NoFrills
Toilet Paper 12-roll,1.9,1,NoFrills
Paper Towels 6-pack,15.5,0,NoFrills
Garbage Bags 30-pack,13.24,1,NoFrills
Shampoo 355ml,13.18,1,NoFrills
Conditioner 355ml,22.83,1,NoFrills
Body Wash 700ml,3.13,1,NoFrills
Hand Soap 250ml,17.75,1,NoFrills
Toothpaste 120ml,14.35,1,NoFrills
Toothbrush 2-pack,22.71,1,NoFrills
Razor 4-pack,8.47,0,NoFrills
Shaving Cream 300g,2.4,1,NoFrills
Deodorant,6.26,1,NoFrills
Aluminum Foil 50ft,9.73,1,NoFrills
Plastic Wrap 100ft,19.92,1,NoFrills
Ziploc Bags 50-pack,6.29,0,NoFrills
Baking Soda 500g,16.23,1,NoFrills
Bleach 1L,10.12,1,NoFrills
All-Purpose Cleaner 1L,20.97,1,NoFrills
Granola Bars 6-pack,12.36,1,NoFrills
Popcorn 200g,16.85,1,NoFrills
Tortillas 10-pack,2.99,1,NoFrills
Salsa 500ml,10.18,1,NoFrills
Nacho Chips 400g,21.05,1,NoFrills
Bagged Salad,13.79,1,NoFrills
Yogurt Cups 8-pack,21.47,1,NoFrills
Cheese Slices 24-pack,3.36,1,NoFrills
Ham Sliced 400g,13.41,1,NoFrills
